item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
Dragomir | Sabre Footsoldier,6.6,367.0,20.33,301310,1913,317136.0,10681.0,2.88,5.61
M4A1-S | Nightmare (Battle-Scarred),5.8,-53.0,20.26,227319,1656,948836.0,8823.0,4.34,5.35
Tec-9 | Re-Entry (Minimal Wear),0.7,-87.0,20.18,605920,2187,327727.0,1415.0,0.54,0.65
StatTrak™ Dual Berettas | Flora Carnivora (Field-Tested),0.9,-80.0,20.08,66994,1954,85257.0,1712.0,1.16,0.86
SSG 08 | Necropos (Minimal Wear),0.6,-53.0,19.88,805321,1221,211062.0,701.0,0.35,0.57
Sticker | FURIA (Holo) | Copenhagen 2024,3.6,-61.0,19.81,27864,1377,132966.0,4774.0,3.88,3.5
Glock-18 | Vogue (Well-Worn),2.9,-83.0,19.79,88608,1419,302147.0,3797.0,3.48,2.67
StatTrak™ SG 553 | Ol' Rusty (Factory New),0.7,-90.0,19.68,96771,1286,58229.0,735.0,0.61,0.56
P250 | Franklin (Minimal Wear),0.9,-93.0,19.67,1141022,4645,960175.0,3726.0,0.93,0.8
StatTrak™ AWP | Mortis (Field-Tested),4.6,-95.0,19.45,273652,2627,1527394.0,11426.0,7.6,4.37
UMP-45 | Wild Child (Battle-Scarred),1.2,-92.0,19.44,68768,2076,161480.0,2688.0,1.82,1.25
StatTrak™ Glock-18 | Moonrise (Field-Tested),1.0,-95.0,19.33,684937,6022,669810.0,5934.0,1.32,0.98
USP-S | Torque (Well-Worn),0.8,-4.0,18.85,461349,1234,238247.0,884.0,0.71,0.72
Galil AR | Tuxedo (Factory New),1.4,-86.0,18.79,527886,5235,438987.0,6396.0,0.96,1.23
M4A4 | Spider Lily (Battle-Scarred),2.3,44.0,18.78,268527,1729,241821.0,3740.0,1.49,2.17
P250 | Nevermore (Minimal Wear),0.9,-87.0,18.77,932638,4940,536500.0,3794.0,0.63,0.77
Nova | Wild Six (Minimal Wear),0.6,-85.0,18.64,375649,1364,201235.0,830.0,0.55,0.59
SG 553 | Anodized Navy (Factory New),0.5,-70.0,18.51,2476619,39231,971487.0,21709.0,0.44,0.54
R8 Revolver | Banana Cannon (Minimal Wear),0.7,-92.0,18.39,170702,6054,254097.0,4061.0,0.96,0.67
MP9 | Starlight Protector (Battle-Scarred),2.0,-93.0,18.31,89071,2448,234409.0,4429.0,2.68,1.82
Desert Eagle | Conspiracy (Field-Tested),6.1,8.0,18.29,359137,1077,963862.0,5780.0,3.1,5.39
StatTrak™ Glock-18 | Umbral Rabbit (Field-Tested),0.9,-91.0,18.06,115760,5406,151510.0,4400.0,1.1,0.81
Trapper Aggressor | Guerrilla Warfare,13.6,694.0,18.03,222573,1769,602649.0,21361.0,7.29,12.34
SG 553 | Darkwing (Minimal Wear),0.8,-95.0,17.91,378139,2864,332090.0,2001.0,0.78,0.7
MAG-7 | Monster Call (Factory New),1.6,-90.0,17.89,78722,1077,131237.0,1641.0,1.7,1.52
P250 | Franklin (Factory New),1.3,-95.0,17.88,775115,2853,937540.0,3560.0,1.37,1.26
MP9 | Food Chain (Well-Worn),1.6,-89.0,17.88,269628,3073,380074.0,4584.0,1.5,1.5
Sticker | Cloud9 (Glitter) | Antwerp 2022,0.8,-77.0,17.74,539168,2249,684515.0,1466.0,1.24,0.66
PP-Bizon | Photic Zone (Minimal Wear),0.6,16.0,17.68,546661,1218,114486.0,758.0,0.32,0.6
AWP | Worm God (Well-Worn),1.6,-87.0,17.63,409563,1100,458448.0,1551.0,1.24,1.41
MAG-7 | Core Breach (Minimal Wear),1.6,-91.0,17.55,55609,1506,95422.0,2583.0,1.71,1.64
SG 553 | Triarch (Field-Tested),0.3,-69.0,17.47,561701,1256,141128.0,514.0,0.29,0.55
P250 | See Ya Later (Field-Tested),2.3,-91.0,17.41,422505,3330,1362600.0,6922.0,3.29,2.09
StatTrak™ AK-47 | Elite Build (Well-Worn),3.0,-83.0,17.31,980356,2650,2665294.0,7979.0,3.09,3.01
AWP | Worm God (Factory New),2.6,-87.0,17.31,2374812,3180,3558728.0,7434.0,1.81,2.35
SSG 08 | Abyss (Minimal Wear),0.6,-5.0,17.23,2672244,4505,744169.0,2277.0,0.44,0.51
MAC-10 | Allure (Minimal Wear),0.7,-91.0,17.2,441707,6918,321026.0,4478.0,0.72,0.65
Galil AR | Stone Cold (Minimal Wear),3.3,-20.0,17.19,468434,1127,483559.0,3367.0,1.66,3.0
StatTrak™ Galil AR | Connexion (Battle-Scarred),0.5,-90.0,17.15,61612,1205,36599.0,630.0,0.65,0.52
Sticker | Cheongsam (Holo),1.2,-62.0,16.83,204829,1101,247467.0,1275.0,1.24,1.14
Sticker | s1mple (Holo) | Stockholm 2021,1.4,-42.0,16.78,569923,2912,531802.0,3959.0,1.24,1.38
Glock-18 | Wasteland Rebel (Minimal Wear),3.5,-92.0,16.76,234740,1966,1319419.0,6416.0,5.65,3.27
UMP-45 | Arctic Wolf (Minimal Wear),0.6,-90.0,16.73,583092,2598,344353.0,1564.0,0.61,0.61
Glock-18 | Moonrise (Minimal Wear),0.8,-93.0,16.55,1216166,8215,816483.0,6136.0,0.74,0.76
Glock-18 | Vogue (Factory New),8.7,-89.0,16.43,108812,1582,995960.0,12516.0,9.13,7.91
Number K | The Professionals,57.4,798.0,16.37,260801,1921,3157709.0,114379.0,31.69,59.51
"StatTrak™ Music Kit | Skog, III-Arena",0.8,-87.0,16.23,333906,2436,483500.0,1619.0,1.47,0.67
Glock-18 | Moonrise (Factory New),1.7,-91.0,16.06,517256,3044,660760.0,4697.0,1.43,1.56
StatTrak™ Galil AR | Signal (Field-Tested),1.2,-74.0,16.02,150676,1165,148046.0,1227.0,1.02,1.05
