date,price_pounds,volume
2019-05-23,2.134,978
2019-05-24,2.148,1249
2019-05-25,2.149,1006
2019-05-26,2.141,1417
2019-05-27,2.142,815
2019-05-28,2.14,528
2019-05-29,2.143,994
2019-05-30,2.132,917
2019-05-31,2.141,1200
2019-06-01,2.149,1209
2019-06-02,2.147,942
2019-06-03,2.134,1120
2019-06-04,2.138,680
2019-06-05,2.143,746
2019-06-06,2.148,1064
2019-06-07,2.139,680
2019-06-08,2.147,1098
2019-06-09,2.143,794
2019-06-10,2.138,851
2019-06-11,2.138,748
2019-06-12,2.146,822
2019-06-13,2.139,1328
2019-06-14,2.135,758
2019-06-15,2.133,924
2019-06-16,2.141,647
2019-06-17,2.144,752
2019-06-18,2.136,722
2019-06-19,2.127,775
2019-06-20,2.141,943
2019-06-21,2.141,1130
2019-06-22,2.155,1060
2019-06-23,2.155,827
2019-06-24,2.157,1068
2019-06-25,2.16,793
2019-06-26,2.102,899
2019-06-27,2.038,1009
2019-06-28,1.981,1180
2019-06-29,1.968,1434
2019-06-30,1.955,1237
2019-07-01,1.968,1876
2019-07-02,1.945,1595
2019-07-03,1.964,1716
2019-07-04,1.983,1923
2019-07-05,1.99,1403
2019-07-06,2.012,2021
2019-07-07,1.999,1479
2019-07-08,2.066,636
2019-07-09,2.077,1441
2019-07-10,2.121,1223
2019-07-11,2.13,1088
2019-07-12,2.133,1760
2019-07-13,2.13,1278
2019-07-14,2.132,1158
2019-07-15,2.127,1082
2019-07-16,2.126,749
2019-07-17,2.109,1126
2019-07-18,2.103,1396
2019-07-19,2.121,1527
2019-07-20,2.127,1393
2019-07-21,2.127,1223
2019-07-22,2.126,797
2019-07-23,2.12,757
2019-07-24,2.118,1347
2019-07-25,2.112,1173
2019-07-26,2.113,1118
2019-07-27,2.11,1232
2019-07-28,2.111,733
2019-07-29,2.107,1254
2019-07-30,2.081,1095
2019-07-31,2.069,735
2019-08-01,2.07,1024
2019-08-02,2.057,1226
2019-08-03,2.062,2282
2019-08-04,2.06,1623
2019-08-05,2.061,1091
2019-08-06,2.068,1691
2019-08-07,2.068,1061
2019-08-08,2.063,1938
2019-08-09,1.991,1782
2019-08-10,2.057,2294
2019-08-11,2.053,930
2019-08-12,2.024,1871
2019-08-13,1.81,25039
2019-08-14,2.017,1745
2019-08-15,1.999,1949
2019-08-16,2.043,1529
2019-08-17,2.091,1766
2019-08-18,2.099,1765
2019-08-19,2.094,1543
2019-08-20,2.119,1133
2019-08-21,2.123,1184
2019-08-22,2.13,1089
2019-08-23,2.133,1308
2019-08-24,2.133,1566
2019-08-25,2.138,1328
2019-08-26,2.134,697
2019-08-27,2.112,1522
2019-08-28,2.132,923
2019-08-29,2.1,1311
2019-08-30,2.006,1846
2019-08-31,2.026,1511
2019-09-01,2.021,1759
2019-09-02,2.029,1987
2019-09-03,2.035,1409
2019-09-04,2.103,1569
2019-09-05,2.11,1491
2019-09-06,2.107,2028
2019-09-07,2.113,1664
2019-09-08,2.099,1498
2019-09-09,2.103,1595
2019-09-10,2.117,2791
2019-09-11,2.112,1675
2019-09-12,2.114,1485
2019-09-13,2.111,1752
2019-09-14,2.11,1871
2019-09-15,2.109,1954
2019-09-16,2.109,1378
2019-09-17,2.112,1960
2019-09-18,2.103,1527
2019-09-19,2.097,1774
2019-09-20,2.096,1938
2019-09-21,2.095,1985
2019-09-22,2.094,1633
2019-09-23,2.093,1747
2019-09-24,2.082,1407
2019-09-25,2.058,2236
2019-09-26,2.073,2634
2019-09-27,2.073,1844
2019-09-28,2.076,1427
2019-09-29,2.082,1397
