date,price_usd,volume
2024-06-16,0.766,2762
2024-06-17,0.766,2455
2024-06-17,0.766,2789
2024-06-17,0.766,2272
2024-06-17,0.766,2982
2024-06-17,0.766,2760
2024-06-17,0.762,2304
2024-06-17,0.758,1728
2024-06-17,0.756,1574
2024-06-17,0.756,1604
2024-06-17,0.734,1504
2024-06-17,0.737,2025
