market_hash_name,hash
'StatTrak™ CZ75-Auto | Imprint (Well-Worn)',7517519016232000100222474593447877048779815755453132289388336453944524570358
'SCAR-20 | Outbreak (Factory New)',61470081415046665567595765608033964069117672481221092308654594571040167860820
'PP-Bizon | Judgement of Anubis (Field-Tested)',110637352312985341286876790109013661493302432550281098405394309910149852464964
'StatTrak™ AK-47 | Frontside Misty (Battle-Scarred)',15279310557555066762066652770740923067887849437050022580964896980634246620025
'Negev | Power Loader (Minimal Wear)',68362637226096111157883899250823846211634532024448361496252774979324836394816
'StatTrak™ Five-SeveN | Fowl Play (Battle-Scarred)',6751544972423545279755352401490304574801301512387730731387071799600336814100
'Tec-9 | Jambiya (Minimal Wear)',91549985575508441509754972674561776573176897310411192468293882337584952174153
'StatTrak™ Galil AR | Eco (Well-Worn)',79860506031903806439382233236010180156879470062955670803392138264862313407222
'M4A1-S | Flashback (Well-Worn)',99331913922431294327924272460729577094282194266722919358350153226985765435291
'StatTrak™ Galil AR | Chatterbox (Well-Worn)',85734751931409147575657240005277258992382960023183995999661877891765034669163
'AK-47 | Orbit Mk01 (Minimal Wear)',82695707212881033391698830517636280454925048200747238991711028860954695030698
'StatTrak™ AK-47 | Point Disarray (Field-Tested)',99530147685770470842867161507773937946335514710335623467239833887285842621586
'P2000 | Grassland (Battle-Scarred)',65554653566687616325394839012841211092370677225935740911040993965668847928372
'StatTrak™ Five-SeveN | Scumbria (Well-Worn)',33377019874184383986336176740621031906563171671693094189641930769092485521803
'R8 Revolver | Canal Spray (Field-Tested)',10244870928713028809044724079285944061470955900369325736549916303717816023711
'StatTrak™ Tec-9 | Jambiya (Field-Tested)',93017544131567554892698218995639974924654438252835130486741020216067154524050
'StatTrak™ UMP-45 | Briefing (Well-Worn)',51962079286137642232167779420482007217779436562877377239330014776676817306826
'StatTrak™ FAMAS | Survivor Z (Battle-Scarred)',74856802390763582692012338998716861621390077301449005005773284659506938525872
'Souvenir P250 | Contamination (Factory New)',60682674649520283503451530566289355168151861201745036487558691092312746871086
'R8 Revolver | Memento (Minimal Wear)',51133162814402897247623337144837077756838929554228525975553348238534967820870
'Nova | Exo (Field-Tested)',67026315809116444429706644010675275280822579011669667950916849211297251175468
'SCAR-20 | Bloodsport (Factory New)',9049801764803084108562798829890037606290188027042734902015819505367412528364
'StatTrak™ MP7 | Neon Ply (Field-Tested)',8337348957380718450745441039229004312844488724178799438027661909715436086290
'CZ75-Auto | Imprint (Minimal Wear)',54573396141450338354750885486210922534142264316907152091941155875183193642145
'SG 553 | Triarch (Field-Tested)',87941437186665309734465159763297317893499488956089388375202583228127455613785
'Glock-18 | Weasel (Battle-Scarred)',92673796212531797881184555013964747426837169641182531247953734957048832523584
'Souvenir Sawed-Off | Amber Fade (Minimal Wear)',28133081869647152738127163570647100903808462666860460621914783156018248293974
'USP-S | Cyrex (Battle-Scarred)',90804316052787949243046059174267402680340269880210115284368198849441376391040
'XM1014 | Red Python (Well-Worn)',42251114008885809100030033122511196087750001010771551396895308802185471301487
'M4A1-S | Decimator (Field-Tested)',24084551526489250368823804195310898613679010647307336919003938183999859082694
'Souvenir MP7 | Orange Peel (Well-Worn)',14263865421629464009687154305141936346404527076953865432534732069401788641891
'Five-SeveN | Retrobution (Well-Worn)',42338129349913456356709805994035500856415177712110013043747158304276522613285
'P250 | Iron Clad (Minimal Wear)',12854646535020365591001257680481058677822421591075794223981771347722551702465
'SG 553 | Colony IV (Battle-Scarred)',8628263458303364868243480854871652504310833236049114275977396043266910963851
'MAG-7 | Petroglyph (Minimal Wear)',7152496600627364960604068143155358710357317542249430668287777831473584657950
'SCAR-20 | Green Marine (Battle-Scarred)',34703990895718855415882844067451695940692296845624576538086007653824350116223
'StatTrak™ CZ75-Auto | Polymer (Field-Tested)',30383377641203127114810021622228495867164809822703666141526131159099593177246
'Glock-18 | Wraiths (Well-Worn)',62100206413298331717633095338994142290662904005472143233017445831132952777503
'AK-47 | First Class (Well-Worn)',3408884571202008935739840829692012330326500674230083614119022184507159743295
'R8 Revolver | Crimson Web (Battle-Scarred)',108500929806438408098531917042918316574741894479348871966217597019953319117704
'StatTrak™ Glock-18 | Weasel (Well-Worn)',51650747496730041399573148633157072980487877639703978765198449653695540383361
'Glock-18 | Groundwater (Well-Worn)',7945380806243262967634391679225006443395704576899130637196748221869187089332
'StatTrak™ MAC-10 | Carnivore (Well-Worn)',17381833950331625403194319269763636439535039869877594100337452641549785040032
'MAG-7 | Praetorian (Minimal Wear)',100178624897354465040463799455652762487637143056533446455851497671229476804492
'StatTrak™ MAG-7 | Heat (Factory New)',47447507494105289165588001924734691452454743338464577575094857701673848014991
'P90 | Grim (Field-Tested)',3351433835914326638987642142752449049985198251151601694502199414352249734247
'Negev | Loudmouth (Battle-Scarred)',108073207040397584264926716245981635875193549827264055148498082802495676169748
'StatTrak™ SG 553 | Wave Spray (Battle-Scarred)',14286851106846474467493031951912125757283000168955223566219598511829502235257
'StatTrak™ Five-SeveN | Violent Daimyo (Factory New)',111412539433441200849517948702105465162554871516479895957342949275913655293203
'P250 | Mint Kimono (Battle-Scarred)',11032936865212558941991592147805859856361794045995017548226491801350651803537
'AK-47 | Fuel Injector (Battle-Scarred)',35523380652642952559529143883821866260599780188778816946873330311795903666268
'Sticker | flusha | Cologne 2016',66796647661584936378746815522558273744804617390339970632457891586090031349358
'★ Flip Knife | Urban Masked (Minimal Wear)',24353292447456173332961877711755282814444741890260192520612655269142080047835
'SCAR-20 | Torn (Field-Tested)',3223758124643775808376604204142403269883313990376267391285438538558049818951
'Sticker | dennis | Cologne 2016',2367630474807726792045297275271812161830025882786501641469271901500502765340
'StatTrak™ SCAR-20 | Green Marine (Minimal Wear)',4533759983929506102475299447757885130953816250465242886014487252714172907703
'Nova | Exo (Minimal Wear)',75838553328265973375072449211803554584646420957262825535144533217677113690539
'CZ75-Auto | Red Astor (Battle-Scarred)',35313059693280702093404757638102097549145994760535907440646430590278929080199
'FAMAS | Night Borre (Minimal Wear)',111680000902460744986762681214876070348130593752226853074071227375281780353087
'StatTrak™ CZ75-Auto | Imprint (Battle-Scarred)',9435853210101043951534658470505501297468688792317884826527868395963634021841
'Sticker | PGL (Holo) | Krakow 2017',38434246578876447388611815596764326233649039999374758316050527836465766610115
'Souvenir PP-Bizon | Brass (Field-Tested)',107708186643187330022590767049858381440034434617739841564157483536115605488189
'Boston 2018 Minor Challengers with Flash Gaming Autograph Capsule',70747471252249216942718165183685048431415159689602424340527494971600981556133
'StatTrak™ M4A4 | X-Ray (Field-Tested)',37385988936216516642816862053375696320223804221523347322433902691755297181519
'MAG-7 | Petroglyph (Field-Tested)',10824736456292680757393040676115112084954714701316868135418345049055663889898
'Glock-18 | Weasel (Factory New)',1964890519435699421082831678171225294420014088606724903236811365001617602204
'G3SG1 | Safari Mesh (Battle-Scarred)',15699328901764556035885446386709011480272700616804798558698601471418459599767
'StatTrak™ Dual Berettas | Ventilators (Factory New)',106754535607870121669350883195228401006646313983422557066823884904652417785400
'Sticker | wayLander (Foil) | Cologne 2016',11359961355461747585310788142147973162878614565301881064345713645297129880010
'XM1014 | Slipstream (Minimal Wear)',63941139130848085104601483048538625591001299388825708787668120570809321438325
'Sawed-Off | Yorick (Well-Worn)',37734048044501691791873627916562897190527442123576368583746466155096850087831
'Sticker | Skull Lil Boney',32505098885774597708008424596191855551968325831052533137946598908452699046383
'M249 | Nebula Crusader (Battle-Scarred)',75910331131369285981220484965670255469500636137416465900874758896474426676671
'Tec-9 | Remote Control (Well-Worn)',36069435140054852067250382862905475945588863795027546668740651469328982653700
'★ Bayonet | Marble Fade (Factory New)',87209444714721965852189270754256457502645417282676135032319944212787150565639
'SSG 08 | Dragonfire (Factory New)',53925683720114589892494378286571561163354165913610285918308210203453069692925
'SSG 08 | Big Iron (Factory New)',68461587907313085278167270932070024821202272670065623603142076936241786707407
'Sealed Graffiti | Cloud9 | Krakow 2017',13310708938056501320908693411377117077162774401611987273491816764668283862035
'FAMAS | Mecha Industries (Factory New)',81254482546090420760093269643355507225703416915091777592998708279535206717482
'Souvenir AUG | Radiation Hazard (Well-Worn)',7530580853007561706308155465574079106108681568077415772339181586108431594184
'P90 | Shallow Grave (Minimal Wear)',63767538947467024191025206939961492779286239813513198132720599556223356675415
